exp,unixtime,iso_time,score,status,best_so_far,family
1,1785167668,2026-07-27T11:54:28-0400,1.368684,kept,1.368684,equivariant_mpnn_cellcoord
2,1785167876,2026-07-27T11:57:56-0400,1.390561,kept,1.390561,equivariant_mpnn_cellcoord
3,1785168146,2026-07-27T12:02:26-0400,1.000000,exploring,1.390561,equivariant_mpnn_cellcoord
4,1785168352,2026-07-27T12:05:52-0400,1.367298,exploring,1.390561,equivariant_mpnn_cellcoord
5,1785168736,2026-07-27T12:12:16-0400,1.382542,reverted,1.390561,equivariant_mpnn_cellcoord
6,1785169037,2026-07-27T12:17:17-0400,1.000000,exploring,1.390561,equivariant_mpnn_cellcoord
7,1785169366,2026-07-27T12:22:46-0400,1.389091,exploring,1.390561,equivariant_mpnn_cellcoord
8,1785169723,2026-07-27T12:28:43-0400,1.404952,kept,1.404952,equivariant_mpnn_cellcoord
9,1785170055,2026-07-27T12:34:15-0400,1.406450,kept,1.406450,equivariant_mpnn_cellcoord
10,1785170261,2026-07-27T12:37:41-0400,1.406450,reverted,1.406450,equivariant_mpnn_cellcoord
11,1785170391,2026-07-27T12:39:51-0400,1.406450,exploring,1.406450,equivariant_mpnn_cellcoord
12,1785174123,2026-07-27T13:42:03-0400,1.406450,exploring,1.406450,equivariant_mpnn_cellcoord
13,1785174685,2026-07-27T13:51:25-0400,1.410449,kept,1.410449,equivariant_mpnn_cellcoord
14,1785175118,2026-07-27T13:58:38-0400,1.396582,exploring,1.410449,equivariant_mpnn_cellcoord
15,1785175479,2026-07-27T14:04:39-0400,1.419842,kept,1.419842,equivariant_mpnn_cellcoord
16,1785175721,2026-07-27T14:08:41-0400,1.392901,reverted,1.419842,equivariant_mpnn_cellcoord
17,1785176050,2026-07-27T14:14:10-0400,1.419670,exploring,1.419842,equivariant_mpnn_cellcoord
18,1785176515,2026-07-27T14:21:55-0400,1.412625,exploring,1.419842,equivariant_mpnn_cellcoord
19,1785177059,2026-07-27T14:30:59-0400,1.434843,kept,1.434843,equivariant_mpnn_cellcoord
20,1785177538,2026-07-27T14:38:58-0400,1.423540,exploring,1.434843,equivariant_mpnn_cellcoord
21,1785178272,2026-07-27T14:51:12-0400,1.429086,reverted,1.434843,equivariant_mpnn_cellcoord
22,1785178771,2026-07-27T14:59:31-0400,1.434775,exploring,1.434843,equivariant_mpnn_cellcoord
23,1785179464,2026-07-27T15:11:04-0400,1.435520,kept,1.435520,qft_distill_mpnn
24,1785180115,2026-07-27T15:21:55-0400,1.438568,kept,1.438568,qft_distill_mpnn
25,1785180886,2026-07-27T15:34:46-0400,1.367769,exploring,1.438568,qft_distill_mpnn
26,1785181652,2026-07-27T15:47:32-0400,1.392161,exploring,1.438568,qft_distill_mpnn
27,1785182417,2026-07-27T16:00:17-0400,1.445498,kept,1.445498,qft_distill_mpnn
28,1785183099,2026-07-27T16:11:39-0400,1.454611,kept,1.454611,qft_distill_mpnn
29,1785184015,2026-07-27T16:26:55-0400,1.457018,kept,1.457018,qft_distill_mpnn
30,1785184834,2026-07-27T16:40:34-0400,1.456571,reverted,1.457018,qft_distill_mpnn
31,1785185814,2026-07-27T16:56:54-0400,1.465621,kept,1.465621,sinr_profile_head
32,1785186876,2026-07-27T17:14:36-0400,1.465621,exploring,1.465621,sinr_profile_head
33,1785187963,2026-07-27T17:32:43-0400,1.465314,exploring,1.465621,sinr_profile_head
